mean_intensity,std_intensity,min_intensity,max_intensity,filename,label
98.12858581542969,77.82294238095648,0,255,002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81.exe.png,benign
55.242767333984375,69.57345580566093,0,255,003851675800dc05cdac1baa84cab8f68534b244906d97ced0c40f50da27df0a.exe.png,benign
46.25526428222656,71.13065627350242,0,255,00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963.exe.png,benign
120.96365356445312,78.38150736467684,0,255,01a38ae91ae28ca9dcc89790292ad106a3f5bf8c16318b7ac9c1e7ab4ca628d4.exe.png,benign
104.50651550292969,80.71751210565608,0,255,0222aaf048e5bc28f88d03862f133bc444d358f06201e00dcc93422c81e5bcca.exe.png,benign
46.6075439453125,72.80165411257074,0,255,02253301617f5201605443ec0c4ab9e3bf8667caa3ea57a0be4d0641e2394ef6.exe.png,benign
41.41935729980469,66.08348003600422,0,255,02431aa60089b968bc59acc69796ed9418546894752d0c9766fbe3aae0a85031.exe.png,benign
66.38218688964844,83.7025261870307,0,255,03aed529543ac4ce2d9bb6b325f59686a06f1e9df112cf719a8e5222fffda801.exe.png,benign
95.9901123046875,80.54440235436695,0,255,04ffb8d60a17d6405a9408e73e9cabcdaf5e396f7c4784874dc49c353e97315b.exe.png,benign
78.32879638671875,84.397135324853,0,255,050171bc07ebcd963ce724b6b66ff8d1b6c1258e2676c59fd36db0384427bb59.exe.png,benign
27.497207641601562,60.046386016545966,0,255,0524d1cc0e49105631e29f5e13f5dd2d1eb580899297b29cf67aa9644da62e20.exe.png,benign
30.367782592773438,58.06498291963597,0,255,05bff93d5b773dd409d8677c4601d76a774a8ecaf6f96e8a6a06a40daee4053c.ole.png,benign
65.03480529785156,76.65204959218026,0,255,05c73c13c3635fab5c7daa5bcae4ea3a21ec0bd620291762cd13c03cd786b438.exe.png,benign
92.90151977539062,79.58008331722341,0,255,069d020e698f5faaa4912dcf5c2c900d431bf4182ce549c0501af48cae61450f.exe.png,benign
25.050491333007812,59.76204108997239,0,255,06ee87f1ff7d24764b66261adb6acfd0c378b62fb3a4403349a5861e06bc540b.ole.png,benign
46.46266174316406,67.26096916883043,0,255,0727bb0cfd046e9c9b57c0e23b6fe1664a369cfdd2aaf7efa78a22e5dfb3f4f2.exe.png,benign
52.75103759765625,74.27293559935839,0,255,074f238eaecb13d1c6304ead46c31ceca7e8f56d4c6d2d53b91d849efb539cd2.exe.png,benign
95.46795654296875,75.71616937135389,0,255,07615d1ba250df0b9c8772c31ec13e14b304d62ebe6258e6ae085cd8d3bacdb4.exe.png,benign
33.991424560546875,58.51836989512388,0,255,08108ba453bc6222f93d236b3f29265aebd8b286b2f7d29de588db6a23dce550.exe.png,benign
